@context,@type,name,description,image,url
http://schema.org,Thing,BNB,A utility token used for transactions and fees on the BNB Chain (formerly Binance Smart Chain). It's also used for various purposes within the Binance ecosystem.,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,https://bnbchain.org/en
http://schema.org,Thing,Bitcoin,"The first and most well-known cryptocurrency, created in 2009. It operates on a decentralized network and is often referred to as ""digital gold.""",https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,https://bitcoin.org/
http://schema.org,Thing,batcat,Cryptocurrency launched in 2024 on the Solana platform,https://s2.coinmarketcap.com/static/img/coins/64x64/31652.png,https://www.batcat.lol/
http://schema.org,Thing,Boost Trump Campaign,Ethereum-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/31469.png,https://boosttrumpcampaign.com/
http://schema.org,Thing,Bullish Trump Coin,Ethereum-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/32295.png,https://bullishtrumpcoin.io/
http://schema.org,Thing,Satoshi Pumpomoto,Solana-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/30938.png,https://pumpomoto.com/
http://schema.org,Thing,Ethereum,"A decentralized, open-source blockchain platform that enables smart contracts and decentralized applications (dApps). It's the second-largest cryptocurrency by market cap.",https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,https://www.ethereum.org/
http://schema.org,Thing,The Infinite Garden,Ethereum-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/29991.png,https://infinitegardentoken.com/
http://schema.org,Thing,Solana,"A high-performance blockchain supporting smart contracts and decentralized applications, known for its fast transaction speeds and low fees.",https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,https://solana.com
http://schema.org,Thing,SonicObamaLockheedMartin69Inu,Meme token on Solana platform launched in 2023,https://s2.coinmarketcap.com/static/img/coins/64x64/28825.png,https;//sol.sex
http://schema.org,Thing,Wrapped Solana,Token representing Solana on other blockchains,https://s2.coinmarketcap.com/static/img/coins/64x64/16116.png,https://solana.com/
http://schema.org,Thing,Solcoin,Mineable cryptocurrency,https://s2.coinmarketcap.com/static/img/coins/64x64/591.png,
http://schema.org,Thing,Sola Token,Ethereum-based token,https://s2.coinmarketcap.com/static/img/coins/64x64/3333.png,https://sola.foundation/
http://schema.org,Thing,SOL RUNE - Rune.Game,Gaming-related token on BNB Smart Chain,https://s2.coinmarketcap.com/static/img/coins/64x64/12003.png,https://rune.game/sol
http://schema.org,Thing,BonkHoneyHNTMobileSOL,Solana-based token launched in 2023,https://s2.coinmarketcap.com/static/img/coins/64x64/28828.png,https://bhhntmsol.io/
http://schema.org,Thing,Solidify,Ethereum-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/29905.png,https://solidifysecurity.finance/
http://schema.org,Thing,Tether USDt,Stablecoin pegged to the US dollar,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,https://tether.to
http://schema.org,Thing,Cardano,"A blockchain platform that aims to provide a more sustainable, scalable, and efficient alternative to proof-of-work networks.",https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,https://www.cardano.org
http://schema.org,Thing,Dogecoin,"Originally created as a joke, Dogecoin has gained popularity and is often used for tipping and charitable causes.",https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,http://dogecoin.com/
http://schema.org,Thing,Department Of Government Efficiency,Ethereum-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/32778.png,https://newdogeoneth.vip/
http://schema.org,Thing,Department Of Government Efficiency (DOGE),Ethereum-based token launched in 2024,https://s2.coinmarketcap.com/static/img/coins/64x64/32756.png,https://doge.gd
