@context,@type,name,description,image,url
http://schema.org,Thing,50x,"Launched on 25/10/2018, 50x.com is a centralized exchange registered in Kingstown, Saint Vincent and the Grenadines. 50x.com claims to be the first cryptocurrency exchange with an Any2Any trading core that supports direct trades between all listed coins. Powered by A2A technology with automated liquidity aggregation, 50x.com allows users to trade any listed coin to any other listed coin directly in one trade, with the benefits of the fair open market with trader's tools like stop losses, trailing stops, token loans, and Professional Managed Accounts.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/603.png,https://trade.50x.com/
http://schema.org,Thing,ACDX,"A cryptocurrency derivatives exchange offering spot trading, delta one products, and structured products, launched on September 29, 2020, catering to crypto traders with a comprehensive range of financial instruments. It aims to serve both novice and experienced traders by capitalizing on the growing interest in crypto derivatives.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1179.png,https://acdx.cash/
http://schema.org,Thing,ACE,"Centralized fiat-currency exchange headquartered in Taipei, Taiwan. Launched on October 11, 2018, it supports New Taiwan Dollar (TWD) fiat pairs and offers services for fiat deposits and withdrawals, as well as facilitating Initial Exchange Offerings (IEOs). Its platform primarily caters to the Taiwanese market and TWD-based crypto transactions.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/741.png,https://www.ace.io/home
http://schema.org,Thing,Alcor,"Since its inception in February 2020, Alcor Exchange has been at the forefront of the decentralized finance (DeFi) movement on the WAX blockchain. Known for its robust and innovative trading solutions, Alcor has become a key player in the DEX landscape.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1430.png,https://alcor.exchange/
http://schema.org,Thing,ApeSwap (BSC),"ApeSwap is an Automated Market Maker, Yield Farming, and Staking platform on Binance Smart Chain (forked from PancakeSwap).",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1281.png,https://apeswap.finance/#/swap
http://schema.org,Thing,ApeSwap (Polygon),ApeSwap is a leading decentralized exchange (DEX) on Binance Smart Chain and Polygon focused on offering a premier trading experience.,https://s2.coinmarketcap.com/static/img/exchanges/64x64/1466.png,https://apeswap.finance/
http://schema.org,Thing,APX,"APX Finance (APX) is the foremost decentralized exchange (DEX) for crypto derivatives on BNB Chain. Offering both order book (BNB Chain, Ethereum, Arbitrum, zkSync, BASE, Manta) and on-chain perpetuals (BNB Chain, Arbitrum).",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1452.png,https://www.apollox.finance/en
http://schema.org,Thing,APROBIT,"A centralized exchange launched on January 6, 2020, based in the Republic of Korea. It supports trading in Korean Won (KRW) and US Dollar (USD) fiat pairs and allows fiat deposits and withdrawals in KRW.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1071.png,https://www.aprobit.com/
http://schema.org,Thing,Azbit,"A cryptocurrency exchange launched on December 28, 2019. Advised by Bitcoin.com founder Roger Ver, Azbit offers spot crypto trading, wallets, staking, savings, and Initial Exchange Offerings (IEO). In its three-plus years of operation, Azbit has successfully listed over 400 cryptocurrency projects. The platform aims to bridge the gap between traditional finance and the crypto world, providing a comprehensive suite of services for users to engage with digital assets. With its diverse offerings and ambitious goals, Azbit seeks to establish itself as a significant player in the evolving cryptocurrency ecosystem.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1117.png,https://azbit.com/exchange
http://schema.org,Thing,BabySwap,"BabySwap is a decentralized exchange (DEX) on the Binance Smart Chain, specializing in newly launched projects. It combines an automated market maker (AMM) with NFT functionality, offering a user-friendly trading environment and enhanced project support. This platform stands out for its focus on emerging projects, providing them with better visibility and resources. BabySwap's unique approach aims to create a more accessible and supportive ecosystem for both new projects and traders in the decentralized finance (DeFi) space.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1395.png,https://babyswap.finance
http://schema.org,Thing,BakerySwap,"BakerySwap positions itself as an improved version of Uniswap with faster transactions and lower fees. It rewards liquidity providers with BAKE tokens, which earn a portion of trading fees and allow participation in governance decisions, aiming for a more efficient decentralized exchange experience.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1302.png,https://www.bakeryswap.org/#/home
http://schema.org,Thing,Balanced,"A user-friendly DeFi platform designed for widespread adoption, offering fast, affordable, and easy-to-use services. It provides an optimal experience for users seeking to leverage their cryptocurrency holdings while delivering higher returns compared to traditional banking.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1428.png,https://stats.balanced.network/
http://schema.org,Thing,Balancer,"Balancer is a decentralized finance (DeFi) protocol that serves multiple functions in the cryptocurrency ecosystem. As a non-custodial portfolio manager, it allows users to maintain control of their assets while optimizing their investment strategies. The protocol also acts as a liquidity provider, facilitating efficient trading of various tokens. Additionally, Balancer functions as a price sensor, helping to determine accurate market prices for digital assets. With the introduction of Balancer V2, the platform has evolved to offer a more versatile and generalized protocol for automated market makers (AMMs), enhancing its capabilities in decentralized trading and liquidity provision.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1062.png,https://balancer.finance/
http://schema.org,Thing,Balancer v2 (Ethereum),"Balancer is a non-custodial portfolio manager, liquidity provider, and price sensor protocol. Balancer V2 offers a generalized protocol for automated market makers.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/1404.png,https://balancer.fi/
http://schema.org,Thing,BCEX Korea,"Launched on 18/03/2019, BCEX KR is a centralized exchange based in Korea.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/826.png,https://www.bcex.kr
http://schema.org,Thing,Bilaxy,"A centralized cryptocurrency exchange registered in Seychelles, launched in April 2018. Claims to serve hundreds of thousands of traders from over 80 countries worldwide. Emphasizes liquidity for new tokens and offers more than 150 crypto trading pairs. Aims to become a leading global trading platform by providing a wide array of products and services. Prioritizes transparency, reliability, quality execution, and client services to cater to global crypto traders' needs.",https://s2.coinmarketcap.com/static/img/exchanges/64x64/415.png,https://bilaxy.com/
