@context,@type,name,description,image,url
https://schema.org,Thing,𝕯𝖆𝖓𝖌𝖊𝖗,Trader running https://x.com/todayindefi + https://x.com/W3BuilderNews,https://pbs.twimg.com/profile_images/1545356330122166272/d-FiFFm2_400x400.jpg,https://x.com/safetyth1rd
https://schema.org,Thing,Flood,Crypto Trading // Bitcoin class of 2013 // https://x.com/insilicotrading COO // Ramiel Capital Czar,https://pbs.twimg.com/profile_images/1520138762277244934/s9QyiJR2_400x400.jpg,https://x.com/ThinkingUSD
https://schema.org,Thing,Peter / ‘pet3rpan’,investing in consumer crypto https://x.com/1kxnetwork,https://pbs.twimg.com/profile_images/1744425182775631872/SbFXqtL4_400x400.jpg,https://x.com/pet3rpan_
https://schema.org,Thing,redphone,"Crypto storyteller, narrative + inscriptions addict https://x.com/asteroidxyz https://x.com/delphi_labs https://x.com/pleasrDAO https://x.com/astroport_fi https://x.com/mars_protocol Read https://t.co/wqf3Ww6GqF ✦  ",https://pbs.twimg.com/profile_images/1765891317878472704/EljCVfJk_400x400.jpg,https://x.com/redphonecrypto
https://schema.org,Thing,Hunter Horsley,"CEO https://x.com/BitwiseInvest ($3B+ AUM). 7 years in crypto. Formerly Facebook, Instagram & Wharton. Caretaker of Winnie the beagle.",https://pbs.twimg.com/profile_images/1768520578330398720/vC7Jd-fH_400x400.jpg,https://x.com/HHorsley
https://schema.org,Thing,Rekt News,The dark web of DeFi journalism.,https://pbs.twimg.com/profile_images/1320861494112854018/7-zRzzum_400x400.jpg,https://x.com/RektHQ/status/1823389868313178127
https://schema.org,Thing,0xKyle,"Writing @ 0xKyle's Research - Market updates & trade ideas, read by 10,000 traders and institutions in crypto",https://pbs.twimg.com/profile_images/1620249405935980544/ymZWAHMb_400x400.jpg,https://x.com/0xkyle__
https://schema.org,Thing,Rice Maximalist,"tg channel: http://t.me/ricedaily
AAAAAAAHHHH!!! at http://bodl.xyz/
study tail events",https://pbs.twimg.com/profile_images/1774498878223712256/N94xcFfx_400x400.jpg,https://x.com/RiceMaximalist
https://schema.org,Thing,Professor Satoshi,"Coinbase Base Chain
Altcoin Options https://coincall.com/r/satoshiheist",https://pbs.twimg.com/profile_images/1771574969475923968/T-SmAJIn_400x400.jpg,https://x.com/satoshiheist
https://schema.org,Thing,Sam Czsun,"Research @paradigm, founder @_SEAL_Org",https://pbs.twimg.com/profile_images/1629980586378141696/3onkhqws_400x400.jpg,https://x.com/samczsun
