@context,@type,name,description,image,url
http://schema.org,Thing,Dora,"At Dora we believe that as applications leverage online & onchain infrastructure, unlocking search will drive understandability — embedding action at the discoverability layer will catalyze mass adoption. ",https://images.thedapplist.com/prod/uploads/projects/image_1685271222816_dora.jpeg,https://app.ondora.xyz/
http://schema.org,Thing,Peanut Protocol,"Forget chains and wallet addresses. Send tokens with a trustless payment link, no matter whether the recipient has a wallet.",https://images.thedapplist.com/prod/uploads/projects/image_1685172323889_peanut-protocol.jpeg,https://peanut.to
http://schema.org,Thing,Obvious,"Obvious is a self-custody wallet that brings together assets across EVM chains and powers your cross-chain transactions by giving you safe, fast, and affordable bridging & swapping routes within the app.",https://images.thedapplist.com/prod/uploads/projects/image_1683692129106_obvious.png,https://www.obvious.technology/
http://schema.org,Thing,Once Upon,"Once Upon makes the blockchain human-readable, enabling users to search, discover, and understand what's happening in the world of Web3.",https://images.thedapplist.com/prod/uploads/projects/image_1683217778684_once-upon.jpeg,https://onceupon.gg
http://schema.org,Thing,Tenderly,"All-in-One Web3 Dev Platform - development, observability & infrastructure. Build, debug, test & run reliable dapps. Try for free https://t.co/CvH0cDaTyA",https://images.thedapplist.com/prod/uploads/projects/image_1691756157898_tenderly.png,https://tenderly.co
http://schema.org,Thing,Rabby Wallet,"Rabby is designed for multi-chain scenarios and it associates corresponding chain settings for each DeFi Dapp. When you visit a DeFi Dapp for the first time, Rabby will automatically choose the corresponding chain for this site based on our database. You can also switch to another chain for a specific DeFi manually, but the settings will only work for that site.",https://images.thedapplist.com/prod/uploads/projects/image_1679665006437_rabby-wallet.jpeg,https://rabby.io
http://schema.org,Thing,mint.fun,"Mint new NFT projects safely from one interface.
",https://images.thedapplist.com/prod/uploads/projects/image_1704867904177_mint-fun.jpeg,http://mint.fun
http://schema.org,Thing,Coinvise,"Distribute tokens to your community for collecting NFTs, engaging on twitter, voting on proposals and more.",https://images.thedapplist.com/prod/uploads/projects/image_1678636238851_coinvise.jpeg,https://coinvise.co
http://schema.org,Thing,CoinBrain,CoinBrain is the next-gen analytics platform for crypto traders that combines traditional and alternative data to help users identify the hidden gems on the market.,https://images.thedapplist.com/prod/uploads/projects/image_1678564528246_coin-brain.png,https://coinbrain.com/
http://schema.org,Thing,Jumper Exchange,Swap any token. From here to anywhere. Jumper will find you a route and get you there. Powered by Li.Fi ,https://images.thedapplist.com/prod/uploads/projects/image_1677762762676_jumper-exchange.jpeg,https://jumper.exchange
