@context,@type,name,description,image,url
https://schema.org,Thing,Airstack,A platform enabling developers to query and integrate web3 on-chain and off-chain data into their apps.,https://www.airstack.xyz/logo.svg,airstack.xyz
https://schema.org,Thing,Azuro,A sports betting protocol and liquidity layer for on-chain predictions.,https://pbs.twimg.com/profile_images/1749775832971649024/gclHWoGh_400x400.jpg,azuro.org
https://schema.org,Thing,Ceramic,A decentralized network for composable Web3 data by 3box Labs.,https://pbs.twimg.com/profile_images/1356552821789896707/kDPYIYrQ_400x400.jpg,3boxlabs.com
https://schema.org,Thing,Concept Art House,Creator of NFT experiences backed by top global brand licenses.,https://media.licdn.com/dms/image/v2/D560BAQHw_NtWh4McNA/company-logo_200_200/company-logo_200_200/0/1682717002924/conceptarthouse_logo?e=2147483647&v=beta&t=iN1lFplstEJKJjTIj8uCXCZAjd7jOhWFV20BXhTqg2c,conceptarthouse.com
https://schema.org,Thing,DM3,"An open-source, decentralized messaging protocol based on ENS.",https://media.licdn.com/dms/image/v2/C4E0BAQGjVG2n_z5fvg/company-logo_200_200/company-logo_200_200/0/1669885848147?e=2147483647&v=beta&t=Y158fZqTK8CiZ8VGlNJUZNwrO-ONNPcJmbaa4dd5_UY,dm3.network
https://schema.org,Thing,Due,A payment platform leveraging blockchain and stablecoin rails for global settlements.,https://pbs.twimg.com/profile_images/1722533131150868480/uNEN68Kw_400x400.png,opendue.com
https://schema.org,Thing,Fair Math,A library and challenge platform for FHE components.,https://pbs.twimg.com/profile_images/1760667580250161152/Hx5EKrVZ_400x400.png,fairmath.xyz
https://schema.org,Thing,Fluence,A peer-to-peer computing protocol for decentralized applications.,https://pbs.twimg.com/profile_images/1758126990446448641/Xc2NMMNG_400x400.png,fluence.network
https://schema.org,Thing,Folks Finance,A community-driven DeFi protocol offering tools for digital assets.,https://pbs.twimg.com/profile_images/1763248962163617792/Cy0dACvG_400x400.png,folks.finance
https://schema.org,Thing,Gearbox,A decentralized protocol for leveraging and composable finance.,https://pbs.twimg.com/profile_images/1737949216708739072/ISu5WSUS_400x400.jpg,gearbox.fi
https://schema.org,Thing,interface,Interface is a mobile-first Web3 feed and aggregator for social applications on Ethereum,https://cdn.prod.website-files.com/62e931c01868f42946f92f26/66a21b0ff30dbe18cfc29b72_logo-p-500.png,https://www.interface.social/
https://schema.org,Thing,liquorice,Liquorice is an Intent-based LP pools for DeFi,https://cdn.prod.website-files.com/660d45ae83ea3fab2ebcbf94/660d4f26cf5a4970599f766f_In%20color_white.svg,https://www.liquorice.tech/
https://schema.org,Thing,nevermined,Nevermined is a payment infrastructure provider for AI-commerce,https://pbs.twimg.com/profile_images/1760727793732603904/Y4dYGSTa_400x400.png,https://nevermined.io/
https://schema.org,Thing,Neynar,Neynar is a data provider for onchain social,,https://neynar.com/
https://schema.org,Thing,Octav,Octav is a free and editable data analytics platform that helps label Decentralized Finance investment activity,https://cdn.prod.website-files.com/6491d92f46e8d228410c7cff/65fd7f85f40de73e6a8833ca_octav-gray-for-light-bg%201-p-500.png,https://octav.fi/
https://schema.org,Thing,Ownera,Ownera interconnects financial institutions for private security asset trading,https://media.licdn.com/dms/image/v2/C4E0BAQGvltm_jFS_Ow/company-logo_200_200/company-logo_200_200/0/1640614134948/ownera_logo?e=2147483647&v=beta&t=Q_eOee3IfEHNw7UjJhTiSN8yyrPwaxN-D7tiIdIBF8s,https://ownera.io/
https://schema.org,Thing,Rise,All-in-one compliance & payment solution for companies to onboard & automatically pay their global workforce,https://pbs.twimg.com/profile_images/1530168206018723840/ymoi2Xld_400x400.jpg,https://www.riseworks.io/
https://schema.org,Thing,Safe,"SAFE is an absolute leader in multi-signature wallets on EVM chains, used by individuals, corporates and DAOs",https://pbs.twimg.com/profile_images/1643941027898613760/gyhYEOCE_400x400.jpg,https://safe.global/
https://schema.org,Thing,Send,"SendFX provides a tech, compliance & risk management platform for FX payment and remittance services",https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/313127086_575812591211516_1870389579193493682_n.jpg?stp=dst-jpg_s200x200&_nc_cat=104&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=hZuWXbYZiiwQ7kNvgETVKxw&_nc_ht=scontent-sea1-1.xx&oh=00_AYAq-3GfvSTCyUzoSLsGsEIKO6P_niS5xS0Lrr-wjSrcKw&oe=66CBE192,https://www.sendpayments.com/
https://schema.org,Thing,Stardust,Stardust provides traditional game developers with SDK to add virtual assets and economic layer to their games,https://pbs.twimg.com/profile_images/1425222794594291713/IaazQrN8_400x400.jpg,https://www.stardust.gg/
https://schema.org,Thing,Sygnum,Sygnum is the world’s first digital asset bank and is a global digital asset specialist with global reach,https://pbs.twimg.com/profile_images/1821554062854135808/FcPVljpk_400x400.jpg,https://www.sygnum.com/
https://schema.org,Thing,Zerion,"Zerion is a web3 smart, social wallet and investing tool that enables anyone to manage their DeFi and NFT portfolios",https://media.licdn.com/dms/image/v2/C560BAQGKrx4PrRGWVg/company-logo_200_200/company-logo_200_200/0/1679600771112/zeriontech_logo?e=2147483647&v=beta&t=XHwjs_8dkZysQHtTw9C8GaBtkCXTTTuYeQ1uWkCum5A,https://zerion.io/
https://schema.org,Thing,Jiri,Jiri enables smart-contract automation based on confidential inputs and triggers,https://pbs.twimg.com/profile_images/1599043431208308738/WaRseSQI_400x400.jpg,https://www.jiritsu.network/
https://schema.org,Thing,Social Graph Ventures,Social Graph VenturesInvestment DAO focused on early stage applications and middleware in Web3 social,https://pbs.twimg.com/profile_images/1754987904139460608/N9VZGKYr_400x400.jpg,https://www.seam.so/socialgraphventures
