@context,@type,name,description,image,url
https://schema.org,Thing,Agio,Agio Ratings helps firms with digital asset exposure price risk intelligently.,https://pbs.twimg.com/profile_images/1744905560229658624/L7_d03g8_400x400.jpg,https://www.agioratings.io/
https://schema.org,Thing,Amino Chain,A bio-sample marketplace that connects biobanks and clinical sites with bio-pharma companies.,https://pbs.twimg.com/profile_images/1757641095033364480/WiuAotnE_400x400.jpg,https://aminochain.io/
https://schema.org,Thing,Aori,Orderbook infrastructure for high frequency DeFi execution.,https://pbs.twimg.com/profile_images/1626113164621524992/mv8FzKvj_400x400.jpg,https://www.aori.io/
https://schema.org,Thing,Avail,Avail is a Web3 infrastructure layer that allows modular execution layers to scale and interoperate in a trust minimized way.,https://pbs.twimg.com/profile_images/1671126588694609920/THQgYJtf_400x400.png,https://www.availproject.org/
https://schema.org,Thing,Avalanche,"Build anything you want, any way you want on the lightning fast, scalable blockchain that won’t let you down. Choosing the wrong blockchain can kill your dApp before it ever has a chance to succeed, but it doesn’t have to be this way. Launch with confidence on Avalanche.",https://pbs.twimg.com/profile_images/1605605053901021184/9LNylZAA_400x400.png,https://www.avax.network/
https://schema.org,Thing,Berachain,An EVM-identical L1 turning liquidity into security powered by Proof of Liquidity,https://pbs.twimg.com/profile_images/1775162753499508736/2XBUzQhl_400x400.jpg,https://www.berachain.com/
https://schema.org,Thing,Blinklabs,"Blink AI is your Generative AI Launchpad for dApps, Tokens, NFTs, and everything in between.",https://pbs.twimg.com/profile_images/1791293074087321600/kXkqnlBm_400x400.jpg,https://www.blinklabs.ai/
https://schema.org,Thing,Blockchain Builders Fund,"Blockchain Builders Fund comprises Stanford Blockchain Community Leaders and Lecturers, working closely with technical students, and alumni, to help inspire, build, and invest in technology and applications driving widespread blockchain adoption.",https://pbs.twimg.com/profile_images/1816902968433594368/KigEvt5I_400x400.jpg,https://www.blockchainbuilders.fund/
https://schema.org,Thing,BuildBear,"BuildBear is a revolutionary DevTool designed from the ground up to ensure your creation is production-ready from the get-go. Our robust platform empowers you with continuous, automated testing powered by the lightning-fast Phoenix Engine. Collaborate seamlessly with your team in the cloud, and invite your community to join the beta testing party. Build with unwavering confidence, knowing your DApp is battle-tested and ready to conquer the world. Welcome to the future of DApp development, welcome to BuildBear.",https://pbs.twimg.com/profile_images/1660562518350397443/KP4p97vZ_400x400.jpg,https://www.buildbear.io/
https://schema.org,Thing,Contented,We match global brands with the right talent to meet their content goals at speed and scale while fostering the most diverse and vibrant community of content creators.,https://pbs.twimg.com/profile_images/1775478316994109440/1oaJVe9D_400x400.png,https://contentedworld.com/
https://schema.org,Thing,Craftt,"Permissionless, decentralized, and modular self-sovereign identity infrastructure, powered by Zero-Knowledge Proofs.  It provides a set of tools connecting various work solutions for users to be self sovereign by owning, managing, and controlling their digital identity and credentials across platforms and blockchains.",https://pbs.twimg.com/profile_images/1827969060564324352/xgPJsX40_400x400.jpg,https://www.craftt.xyz/
https://schema.org,Thing,GVRN,Automated Back Office for Web3 Startups. Legal Tech designed for Web3 Founders and Investors.,https://cdn.prod.website-files.com/64b4ff91f4ca73c82660ea6f/64c9d98b61248ee06b10216a_gvrn_logo_horizontal-p-500.png,https://www.gvrn.ai
https://schema.org,Thing,Helika,"Helika provides industry leading solutions to help studios Build, grow, and optimize games.",https://www.helika.io/wp-content/uploads/2023/09/Logo-Landing.png,https://www.helika.io/
