@context,@type,name,description,image
https://schema.org,Person,Elizabeth Warren,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240501-013423-elizabethwarren.png
https://schema.org,Person,Brad Sherman,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/a8a0c549-efdb-4241-aa5b-120f94abe008.jpg
https://schema.org,Person,Robin Kelly,US politician in the state of IL,https://db0prh5pvbqwd.cloudfront.net/all/images/f59262ad-70a0-46ad-9a76-a6b25378626d.jpg
https://schema.org,Person,Joe Manchin,US politician in the state of WV,https://db0prh5pvbqwd.cloudfront.net/all/images/d46b88a7-1bcb-4a49-a200-44a2c4ea9b79.jpg
https://schema.org,Person,Teresa Leger Fernandez,US politician in the state of NM,https://db0prh5pvbqwd.cloudfront.net/all/images/8adf66ff-8c60-4405-a801-dd1c251c7732.jpg
https://schema.org,Person,Derek Kilmer,US politician in the state of WA,https://db0prh5pvbqwd.cloudfront.net/all/images/cb14934a-9807-41f7-ad7a-09697fe6bec7.jpg
https://schema.org,Person,Joaquin Castro,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/ae5fe883-522f-43c7-8b0d-64125f9a6593.jpg
https://schema.org,Person,Alex Padilla,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/2d121b94-553b-4089-afc7-34670d14cb1f.jpg
https://schema.org,Person,Sean Casten,US politician in the state of IL,https://db0prh5pvbqwd.cloudfront.net/all/images/90dd33c1-9f33-4012-963e-de8d6c27b39c.jpg
https://schema.org,Person,Bobby Scott,US politician in the state of VA,https://db0prh5pvbqwd.cloudfront.net/all/images/900e8c2f-e77e-4e59-8668-8b22294a6f51.jpg
https://schema.org,Person,Richard Neal,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/all/images/7b757507-3c8e-4eb5-9bdd-c73675c4316e.jpg
https://schema.org,Person,Kweisi Mfume,US politician in the state of MD,https://db0prh5pvbqwd.cloudfront.net/all/images/b5be9068-4f35-467e-b1ee-adb90ee0d112.jpg
https://schema.org,Person,Morgan McGarvey,US politician in the state of KY,https://db0prh5pvbqwd.cloudfront.net/all/images/d72132f8-9efa-49ca-8d69-9ca3cc3c9bca.jpg
https://schema.org,Person,Melanie Stansbury,US politician in the state of NM,https://db0prh5pvbqwd.cloudfront.net/all/images/f0e988ac-0039-43fc-b37a-e8b65ce4d26d.jpg
https://schema.org,Person,Paul Tonko,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/1b2824ac-a305-40e7-bd42-a5d6fd09796e.jpg
https://schema.org,Person,Mark Takano,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/68133b39-6e08-4c13-a278-9753f929f641.jpg
https://schema.org,Person,Emanuel Cleaver,US politician in the state of MO,https://db0prh5pvbqwd.cloudfront.net/all/images/3aa0a7bd-1e43-451c-8ed8-bb8308cb5e3a.jpg
https://schema.org,Person,Tammy Duckworth,US politician in the state of IL,https://db0prh5pvbqwd.cloudfront.net/all/images/d80c25bb-555e-4481-875c-6aed797742df.jpg
https://schema.org,Person,Marie Perez,US politician in the state of WA,
https://schema.org,Person,Kathy Castor,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/7b577fa2-5cc9-4692-b534-48c7584a8ce7.jpg
https://schema.org,Person,Jennifer Wexton,US politician in the state of VA,https://db0prh5pvbqwd.cloudfront.net/all/images/b50c81cc-1469-4746-bf16-0c27db9ea535.jpg
https://schema.org,Person,Debbie Dingell,US politician in the state of MI,https://db0prh5pvbqwd.cloudfront.net/all/images/9484587c-7561-40c1-936a-8202be7475a5.jpg
https://schema.org,Person,Jared Huffman,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/1d9e0f6d-a7fa-48db-aad2-1a194cc914ed.jpg
https://schema.org,Person,Ed Markey,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/all/images/59852f31-67fa-4850-8784-4a4ad930802e.jpg
https://schema.org,Person,Veronica Escobar,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/c0979ed5-790d-477b-b182-d393b68060b4.jpg
https://schema.org,Person,Adriano Espaillat,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/eb7b1d60-ccfd-49a8-803f-0fcf54184e32.jpg
https://schema.org,Person,Delia Ramirez,US politician in the state of IL,https://db0prh5pvbqwd.cloudfront.net/all/images/4a0ad43e-a9b1-4472-9e44-1a4b4967004e.jpg
https://schema.org,Person,Lisa Blunt Rochester,US politician in the state of DE,https://db0prh5pvbqwd.cloudfront.net/all/images/8ccb5217-b6ed-4c52-927c-cd9e85f279d0.jpg
https://schema.org,Person,Angus King,US politician in the state of ME,https://db0prh5pvbqwd.cloudfront.net/all/images/1e1d5138-b704-4f33-8117-55c70485621f.jpg
https://schema.org,Person,Kim Schrier,US politician in the state of WA,https://db0prh5pvbqwd.cloudfront.net/all/images/24e6d8c1-35fc-4ea4-b231-20a2cafd7dc8.jpg
https://schema.org,Person,Tim Kaine,US politician in the state of VA,https://db0prh5pvbqwd.cloudfront.net/all/images/73b20dbe-a8c2-40cb-aa7d-dc3e42447311.jpg
https://schema.org,Person,Katie Porter,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/454e68c5-70ad-48a1-9e55-78a8d8a650d7.jpg
https://schema.org,Person,Judy Chu,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/e4e71daf-4c91-4e1d-be2b-56cf76eb1eec.jpg
https://schema.org,Person,Antonio Daza,US politician in the state of GA,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240405-035832-Antonio_Daza.jpeg
https://schema.org,Person,Sarah Klee Hood,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/Sandy_Klee_Hood123.png
https://schema.org,Person,Bill Keating,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/all/images/88fbfdac-d4c3-455b-b3a3-c67113171327.jpg
https://schema.org,Person,Tina Smith,US politician in the state of MN,https://db0prh5pvbqwd.cloudfront.net/all/images/115dc7c0-bbba-4230-8457-e11bf57ae090.jpg
https://schema.org,Person,Frank Mrvan,US politician in the state of IN,https://db0prh5pvbqwd.cloudfront.net/all/images/ba6a0146-0903-4019-a96c-02e0a512a2c9.jpg
https://schema.org,Person,Lloyd Doggett,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/71c1321d-b68d-425e-bf8f-fd73fa73f6f7.jpg
https://schema.org,Person,Brian Schatz,US politician in the state of HI,https://db0prh5pvbqwd.cloudfront.net/all/images/1bb019a8-6938-4c6b-9b47-f7731669806f.jpg
https://schema.org,Person,Juan Vargas,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/a4a25271-2a31-4677-88c1-88bd1dc8c3d8.jpg
https://schema.org,Person,Rashida Tlaib,US politician in the state of MI,https://db0prh5pvbqwd.cloudfront.net/all/images/4700d54e-04a4-404b-884d-4d3cf72eb9cb.jpg
https://schema.org,Person,Cori Bush,US politician in the state of MO,https://db0prh5pvbqwd.cloudfront.net/all/images/680dd4f0-29a5-4adc-b99e-494ebb183147.jpg
https://schema.org,Person,Chris Murphy,US politician in the state of CT,https://db0prh5pvbqwd.cloudfront.net/all/images/f9870ccb-9bc2-4b3b-831f-0a738deb0c12.jpg
https://schema.org,Person,Greg Casar,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/dc6c7738-93da-4177-a7a0-83838e967be7.jpg
https://schema.org,Person,Salud Carbajal,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/c24bec4c-fc39-4567-8d54-1b90e70d65e8.jpg
https://schema.org,Person,Sheila Cherfilus-McCormick,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/3aa88cb8-8e7e-4aed-8075-2d8092c57734.jpg
https://schema.org,Person,Michael Bennet,US politician in the state of CO,https://db0prh5pvbqwd.cloudfront.net/all/images/e477257f-707c-4e43-b90a-29296b0cef8c.jpg
https://schema.org,Person,Kathy Manning,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/60c0c839-14a1-49be-ba05-62617d4dc7c9.jpg
https://schema.org,Person,Jon Ossoff,US politician in the state of GA,https://db0prh5pvbqwd.cloudfront.net/all/images/c2d464aa-b3cf-40f1-a67e-81123d870e93.jpg
https://schema.org,Person,Suzanne Bonamici,US politician in the state of OR,https://db0prh5pvbqwd.cloudfront.net/all/images/d01cbbed-1425-46e3-a6c4-b041185c000f.jpg
https://schema.org,Person,Earl Blumenauer,US politician in the state of OR,https://db0prh5pvbqwd.cloudfront.net/all/images/81015406-60f2-424f-9e62-9518366d2dbc.jpg
https://schema.org,Person,Jeanne Shaheen,US politician in the state of NH,https://db0prh5pvbqwd.cloudfront.net/all/images/4567887b-f61c-42e4-9a60-8c8579019194.jpg
https://schema.org,Person,Dutch Ruppersberger,US politician in the state of MD,https://db0prh5pvbqwd.cloudfront.net/all/images/4f96cdd3-8c00-417b-b12f-9ddf7403babd.jpg
https://schema.org,Person,Grace Meng,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/523aa6b9-8173-4ad2-ae3b-90e475744126.jpg
https://schema.org,Person,Jared Golden,US politician in the state of ME,https://db0prh5pvbqwd.cloudfront.net/all/images/dcc6591a-7ea4-469e-b503-b04145dfe990.jpeg
https://schema.org,Person,Joe Morelle,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/f1e61794-18a9-4d64-a4b8-b009e84a229b.jpg
https://schema.org,Person,Jennifer McClellan,US politician in the state of VA,https://db0prh5pvbqwd.cloudfront.net/all/images/0196b515-5e29-4367-a56c-e28a14659786.jpg
https://schema.org,Person,Jill Tokuda,US politician in the state of HI,https://db0prh5pvbqwd.cloudfront.net/all/images/5e6717bb-71d0-4a0f-ba3b-b67f1c9d7d70.jpg
https://schema.org,Person,Donald Norcross,US politician in the state of NJ,https://db0prh5pvbqwd.cloudfront.net/all/images/17171cb9-ab85-49cb-a8bd-7681199cb5b6.jpg
https://schema.org,Person,Steny Hoyer,US politician in the state of MD,https://db0prh5pvbqwd.cloudfront.net/all/images/47f9a92f-5a92-43a7-9a68-4a5b4beb6eda.jpg
https://schema.org,Person,Sheldon Whitehouse,US politician in the state of RI,https://db0prh5pvbqwd.cloudfront.net/all/images/87fb30bd-95a9-464c-9acb-7b09b98f9a40.jpg
https://schema.org,Person,Mary Scanlon,US politician in the state of PA,https://db0prh5pvbqwd.cloudfront.net/all/images/eadec1f4-d806-460c-a1cb-2647471b3ae1.jpg
https://schema.org,Person,Terri Sewell,US politician in the state of AL,https://db0prh5pvbqwd.cloudfront.net/all/images/67990804-96ae-4424-be5b-44b06f0dcc8d.jpg
https://schema.org,Person,Lori Trahan,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/all/images/2e4e64b8-ae30-41ec-811b-f27edb9cf201.jpg
https://schema.org,Person,David Trone,US politician in the state of MD,https://db0prh5pvbqwd.cloudfront.net/all/images/aa7de914-c59f-46d7-9f4a-4673d6ae97f8.jpg
https://schema.org,Person,Bernie Sanders,US politician in the state of VT,https://db0prh5pvbqwd.cloudfront.net/all/images/dad5b969-26ce-416e-83e0-e954e8a797d5.jpg
https://schema.org,Person,André Carson,US politician in the state of IN,https://db0prh5pvbqwd.cloudfront.net/all/images/f4bb864a-443b-4256-8d9d-03c9c390bb6f.jpg
https://schema.org,Person,Hank Johnson,US politician in the state of GA,https://db0prh5pvbqwd.cloudfront.net/all/images/0eb4953e-966b-486f-bda4-0634ab6dec72.jpg
https://schema.org,Person,Andrea Salinas,US politician in the state of OR,https://db0prh5pvbqwd.cloudfront.net/all/images/d5ea8bf5-35e2-4385-a1b8-243ec6f6898b.jpg
https://schema.org,Person,Joe Neguse,US politician in the state of CO,https://db0prh5pvbqwd.cloudfront.net/all/images/356c5e0c-0869-4ab1-8bdf-ab22168d5c98.jpg
https://schema.org,Person,Bonnie Watson Coleman,US politician in the state of NJ,https://db0prh5pvbqwd.cloudfront.net/all/images/729991fb-f141-4a3f-8421-34f82072d9bf.jpg
https://schema.org,Person,Valerie Foushee,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/b6eb4587-f51b-402f-add2-2ebcda41ded8.jpeg
https://schema.org,Person,Bill Pascrell,US politician in the state of NJ,https://db0prh5pvbqwd.cloudfront.net/all/images/fa55ba28-29e2-4ffe-87c7-079ecd39d2ab.jpg
https://schema.org,Person,Lizzie Fletcher,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/587a4f22-9984-4018-a6ac-4f017eac7d6c.jpg
https://schema.org,Person,Gabe Vasquez,US politician in the state of NM,https://db0prh5pvbqwd.cloudfront.net/all/images/ff337d80-c72f-4514-a89b-c00b3c91584d.jpg
https://schema.org,Person,Mazie Hirono,US politician in the state of HI,https://db0prh5pvbqwd.cloudfront.net/all/images/c6e0a4d4-75ab-45fe-9a59-30db46b050d7.jpg
https://schema.org,Person,Val Hoyle,US politician in the state of OR,https://db0prh5pvbqwd.cloudfront.net/all/images/9cee5d5d-ee6e-4e64-8853-21136a486d4a.jpg
https://schema.org,Person,Raphael Warnock,US politician in the state of GA,https://db0prh5pvbqwd.cloudfront.net/all/images/d09b7a79-6c9b-4c9c-85b9-07c9eff57bce.jpg
https://schema.org,Person,Richard Blumenthal,US politician in the state of CT,https://db0prh5pvbqwd.cloudfront.net/all/images/91488ee0-f2d5-4524-be71-357f9460c422.jpg
https://schema.org,Person,Adam Smith,US politician in the state of WA,https://db0prh5pvbqwd.cloudfront.net/all/images/3e832064-7903-450e-8c68-7fcafde5f841.jpg
https://schema.org,Person,Bill Foster,US politician in the state of IL,https://db0prh5pvbqwd.cloudfront.net/all/images/a3ddd982-b013-4333-9c9f-fb9a978211b5.jpg
https://schema.org,Person,Mark DeSaulnier,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/79a3dadf-1cf5-4f25-9cb6-b13101f2d5e7.jpeg
https://schema.org,Person,Nanette Barragán,US politician in the state of CA,https://db0prh5pvbqwd.cloudfront.net/all/images/8c3ed821-cf7a-43ec-8c81-47bc2f957c2a.jpg
https://schema.org,Person,Stephen Lynch,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/all/images/1acb5967-a2db-46d3-9e0a-001a8533fc1a.jpg
https://schema.org,Person,Deborah Ross,US politician in the state of NC,https://db0prh5pvbqwd.cloudfront.net/all/images/1322228f-30b5-41db-8f24-49371998088e.jpg
https://schema.org,Person,Emilia Sykes,US politician in the state of OH,https://db0prh5pvbqwd.cloudfront.net/all/images/aed6219f-1c27-40a8-b3f7-cdb1a99ccebb.jpg
https://schema.org,Person,Jerry Nadler,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/c9e89856-7361-486e-bdba-d110efa43cf6.jpg
https://schema.org,Person,Chris Pappas,US politician in the state of NH,https://db0prh5pvbqwd.cloudfront.net/all/images/42953d5c-ac33-40f7-8727-d230eafd551f.jpg
https://schema.org,Person,Yvette Clarke,US politician in the state of NY,https://db0prh5pvbqwd.cloudfront.net/all/images/0c69cea4-3989-4f71-b2fb-f594e9309b92.jpg
https://schema.org,Person,Marcy Kaptur,US politician in the state of OH,https://db0prh5pvbqwd.cloudfront.net/all/images/4e162731-eb06-4d7f-9d2c-806fa2cc3f6e.jpg
https://schema.org,Person,Jack Reed,US politician in the state of RI,https://db0prh5pvbqwd.cloudfront.net/all/images/209dd5e6-f533-4493-bc63-3d270586fb21.jpg
https://schema.org,Person,Gwen Moore,US politician in the state of WI,https://db0prh5pvbqwd.cloudfront.net/all/images/4bf41a8a-69f3-4bf8-833d-cfef7ed4432e.jpg
https://schema.org,Person,Tammy Baldwin,US politician in the state of WI,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240501-014951-tammybaldwin.png
https://schema.org,Person,Jamie Raskin,US politician in the state of MD,https://db0prh5pvbqwd.cloudfront.net/all/images/2c584b6c-fac5-4ab6-b9e2-ec16652a33f3.jpg
https://schema.org,Person,Peter Welch,US politician in the state of VT,https://db0prh5pvbqwd.cloudfront.net/all/images/5d0d8b9b-2551-4550-a999-513ed80ac7df.jpg
https://schema.org,Person,Debbie Wasserman Schultz,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/d72daf05-e0f9-4216-9561-308cc11f8962.jpg
https://schema.org,Person,Ayanna Pressley,US politician in the state of MA,https://db0prh5pvbqwd.cloudfront.net/all/images/d93bf210-c4bb-49f6-946f-05ef1e5434e2.jpg
