@context,@type,name,description,image
https://schema.org,Person,Cynthia Lummis,US politician in the state of WY,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240501-013312-cynthialummis.png
https://schema.org,Person,Tom Emmer,US politician in the state of MN,https://db0prh5pvbqwd.cloudfront.net/all/images/d15a45d2-43e0-4770-9b98-d9de5dc5c085.jpg
https://schema.org,Person,Yadira Caraveo,US politician in the state of CO,https://db0prh5pvbqwd.cloudfront.net/all/images/0796412d-d404-45a5-930a-920e358018c4.jpg
https://schema.org,Person,Donald Trump,US politician,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240429-194316-trump-final.png
https://schema.org,Person,Roger Marshall,US politician in the state of KS,https://db0prh5pvbqwd.cloudfront.net/all/images/bf89b9d6-a10a-4048-b1cc-e9af4f7071f2.jpg
https://schema.org,Person,Robert Kennedy,US politician,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240429-194248-rfk-final1.png
https://schema.org,Person,French Hill,US politician in the state of AR,https://db0prh5pvbqwd.cloudfront.net/all/images/f8fc4013-1e5c-4ff7-9d36-4f75a95c908d.jpg
https://schema.org,Person,Tracey Mann,US politician in the state of KS,https://db0prh5pvbqwd.cloudfront.net/all/images/14d8aaaa-22fc-4b5c-80e9-8f60c9dbd505.jpg
https://schema.org,Person,Julie Johnson,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/JulieJohnsonHeadshot.jpg
https://schema.org,Person,Mike Braun,US politician in the state of IN,https://db0prh5pvbqwd.cloudfront.net/all/images/eeceff49-e9f5-41c1-a7fe-ce7d8198d014.jpg
https://schema.org,Person,Jodey Arrington,US politician in the state of TX,https://db0prh5pvbqwd.cloudfront.net/all/images/5bab003c-6372-43b7-83c2-a878f53f3522.jpg
https://schema.org,Person,Chuck Fleischmann,US politician in the state of TN,https://db0prh5pvbqwd.cloudfront.net/all/images/b9cf5d10-66ce-4c5d-88a7-34cd226e727d.jpg
https://schema.org,Person,Aaron Bean,US politician in the state of FL,https://db0prh5pvbqwd.cloudfront.net/all/images/ea842607-0fca-4463-9357-28be057306be.jpg
https://schema.org,Person,Mikie Sherrill,US politician in the state of NJ,https://db0prh5pvbqwd.cloudfront.net/all/images/468c3596-fea5-4021-89cd-1b2933ffb755.jpg
https://schema.org,Person,Sam Brown,US politician in the state of NV,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240501-014801-sambrown.png
https://schema.org,Person,Mike Speedy,US politician in the state of IN,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/20240404-030246-Mike-Speedy.jpg
https://schema.org,Person,Mike Rogers,US politician in the state of AL,https://db0prh5pvbqwd.cloudfront.net/all/images/4109c580-35b7-4dcd-ba76-d707e9dd6736.jpg
https://schema.org,Person,Bill Huizenga,US politician in the state of MI,https://db0prh5pvbqwd.cloudfront.net/all/images/85c13047-61cc-4d44-b288-7a339f6e72b1.jpg
https://schema.org,Person,James Lankford,US politician in the state of OK,https://db0prh5pvbqwd.cloudfront.net/all/images/40060393-570b-4c2e-bb3a-d05117e80e52.jpg
https://schema.org,Person,Cliff Bentz,US politician in the state of OR,https://db0prh5pvbqwd.cloudfront.net/all/images/0f9ea2cf-6b67-41d6-bbe0-559ad2e80632.jpg
https://schema.org,Person,Lily Williams,US politician in the state of NH,https://db0prh5pvbqwd.cloudfront.net/admin-uploads/production/person_profile_picture_urls/Lily_Williams.jpeg
https://schema.org,Person,Jonathan Jackson,US politician in the state of IL,https://db0prh5pvbqwd.cloudfront.net/all/images/2fb6ff98-72eb-4147-be19-74a67032a409.jpg
