@context,@type,name,description,image,url
https://schema.org,Thing,RWA Unwind by Polytrade,"The event 'RWA Unwind by Polytrade' will be held at The St. Regis on Mon, 16 September from 8:00 AM to 8:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/meq5qjuc
https://schema.org,Thing,DeGEN Summit,"The event 'DeGEN Summit' will be held at Huone Singapore on Mon, 16 September from 8:00 AM to 7:00 PM. The event is US$99-359 to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://degensummit.com/
https://schema.org,Thing,Fintech Fact-Finding Mission To Singapore,"The event 'Fintech Fact-Finding Mission To Singapore' will be held at Suntec Singapore Convention & Exhibition Centre on Mon, 16 September from 9:00 AM to 6:00 PM. The event is US$2200-2800 to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://www.s-ge.com/en/node/111238
https://schema.org,Thing,Polkadot Decoded Asia 2024,"The event 'Polkadot Decoded Asia 2024' will be held at Singapore on Mon, 16 September from 9:00 AM to 6:00 PM. The event is US$0-199 to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/hszom0hw
https://schema.org,Thing,DeSci & bio/acc Summit,"The event 'DeSci & bio/acc Summit' will be held at National Singapore Gallery on Mon, 16 September from 9:00 AM to 5:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/descisummit
https://schema.org,Thing,Epoch Singapore Day 1,"The event 'Epoch Singapore Day 1' will be held at Andaz Singapore on Mon, 16 September from 9:00 AM to 8:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://www.epochsummit.com/
https://schema.org,Thing,mETH Muscle Mania,"The event 'mETH Muscle Mania' will be held at MAX OUT Fitness (Raffles Quay) on Mon, 16 September from 9:00 AM to 12:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/i1a9lj4f
https://schema.org,Thing,Innoblock 2024,"The event 'Innoblock 2024' will be held at Singapore Expo Hall 3 on Mon, 16 September from 9:30 AM to 6:00 PM. The event is US$10 to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/srlcywnc
https://schema.org,Thing,InnoBlock 2024 (Web3 Innovation Festival) - Day 1,"The event 'InnoBlock 2024 (Web3 Innovation Festival) - Day 1' will be held at Singapore Expo Hall 3 on Mon, 16 September from 9:30 AM to 6:00 PM. The event is US$0-500 to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/srlcywnc
https://schema.org,Thing,R3al World Depin Summit,"The event 'R3al World Depin Summit' will be held at Amara hotel on Mon, 16 September from 10:00 AM to 8:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://r3alworld.com/events
https://schema.org,Thing,The Scaling AI Summit w/ 0x499 & NEAR,"The event 'The Scaling AI Summit w/ 0x499 & NEAR' will be held at ?Alumni House | NTU@one-north on Mon, 16 September from 10:00 AM to 7:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/TheScaling2024SG
https://schema.org,Thing,Demo Eve  Degen Summit 2024,"The event 'Demo Eve  Degen Summit 2024' will be held at Huone Singapore on Mon, 16 September from 11:00 AM to 5:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/dnhnnn1d
https://schema.org,Thing,CMO Luncheon by CMO Circle in Association with Blockwee (Invite only),"The event 'CMO Luncheon by CMO Circle in Association with Blockwee (Invite only)' will be held at Singapore on Mon, 16 September from 12:00 PM to 3:30 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/fiya15iw
https://schema.org,Thing,TOKEN2049 Founders & Investors brunch ?,"The event 'TOKEN2049 Founders & Investors brunch ?' will be held at Singapore on Mon, 16 September from 12:00 PM to 3:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/srphh212
https://schema.org,Thing,DePIN Alliance: Beyond the HYPE,"The event 'DePIN Alliance: Beyond the HYPE' will be held at Hopscotch Bar Singapore on Mon, 16 September from 12:00 PM to 5:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/6q0de1nm
https://schema.org,Thing,GrowthCon x TOKEN2049 Singapore,"The event 'GrowthCon x TOKEN2049 Singapore' will be held at OGBC Innovation Hub on Mon, 16 September from 1:00 PM to 5:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/uk1u0mp8
https://schema.org,Thing,All That Matters Day 1,"The event 'All That Matters Day 1' will be held at Hilton Singapore Orchard on Mon, 16 September from 2:00 PM to 8:00 PM. The event is US649 - US1299 to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,http://www.allthatmatters.asia/
https://schema.org,Thing,RESTAKING 2049,"The event 'RESTAKING 2049' will be held at Guoco Midtown Network Hub on Mon, 16 September from 2:00 PM to 8:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/l22eqf0o
https://schema.org,Thing,Lrn2network @ TOKEN2049 SG,"The event 'Lrn2network @ TOKEN2049 SG' will be held at Penang Lane on Mon, 16 September from 2:00 PM to 4:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,http://lu.ma/lrn2network
https://schema.org,Thing,?Family Offices & Investors Summit,"The event '?Family Offices & Investors Summit' will be held at Singapore on Mon, 16 September from 3:00 PM to 5:00 PM. The event is Paid to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://www.familyofficesinvestorssummit.com/events/singapore-edition-during-token2049-family-offices-investors-summit
https://schema.org,Thing,FBTC x Babylon: Ignite Bitcoin With Builders & Miners,"The event 'FBTC x Babylon: Ignite Bitcoin With Builders & Miners' will be held at Plume Singapore on Mon, 16 September from 3:30 PM to 9:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/hgp19m5e
https://schema.org,Thing,EVG200 by EVG & OKX Wallet,"The event 'EVG200 by EVG & OKX Wallet' will be held at Singapore on Mon, 16 September from 4:00 PM to 10:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,
https://schema.org,Thing,"Hex Trust, Drew & Napier, and Lukka present: Institutional Digital Assets Drinks","The event 'Hex Trust, Drew & Napier, and Lukka present: Institutional Digital Assets Drinks' will be held at 10 Collyer Quay, #11th Floor Ocean Financial Centre, Singapore 049315 on Mon, 16 September from 5:30 PM to 8:30 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,
https://schema.org,Thing,"TGE Summit Happy Hour with Magna, Mocaverse & Caladan","The event 'TGE Summit Happy Hour with Magna, Mocaverse & Caladan' will be held at 158 Cecil St, #09-01, Singapore 069545 on Mon, 16 September from 6:00 PM to 8:00 PM. The event is Free to attend.",https://raw.githubusercontent.com/DarwinBlock/token2049-week-singapore-2024/main/public/og.png,https://lu.ma/7o02uaay
