@context,@type,name,description,image,url
https://schema.org,Thing,Naruto,"Follows Naruto Uzumaki, a young ninja with dreams of becoming the strongest leader, Hokage, while dealing with the challenges of his past.",https://cdn.myanimelist.net/images/anime/1141/142503.jpg,https://www.viz.com/naruto
https://schema.org,Thing,Naruto: Shippuden,"A continuation of Naruto’s journey as he grows older, faces stronger enemies, and uncovers deeper secrets about his past.",https://cdn.myanimelist.net/images/anime/1565/111305.jpg,https://www.viz.com/naruto-shippuden
https://schema.org,Thing,Dragon Ball Z,"The adventures of Goku, a Saiyan warrior, as he defends Earth from powerful foes, ranging from aliens to gods.",https://cdn.myanimelist.net/images/anime/1277/142022.jpg,https://www.funimation.com/shows/dragon-ball-z/
https://schema.org,Thing,Attack on Titan,Humanity fights for survival behind massive walls to protect themselves from giant humanoid creatures known as Titans.,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Shingeki_no_Kyojin_manga_volume_1.jpg/220px-Shingeki_no_Kyojin_manga_volume_1.jpg,https://shingeki.tv/final/
https://schema.org,Thing,One Piece,"Follows Monkey D. Luffy and his pirate crew as they search for the ultimate treasure, the “One Piece,” to become the Pirate King.",https://wallpapercave.com/wp/wp8326482.jpg,https://one-piece.com/
https://schema.org,Thing,My Hero Academia,"Set in a world where almost everyone has superpowers, or “Quirks,” it follows Izuku Midoriya’s journey to becoming the world’s greatest hero.",https://cdn.myanimelist.net/images/anime/10/78745.jpg,https://heroaca.com/
https://schema.org,Thing,Fullmetal Alchemist: Brotherhood,"Two brothers, Edward and Alphonse Elric, search for the Philosopher’s Stone to restore their bodies after a failed alchemy experiment.",https://cdn.myanimelist.net/images/anime/1208/94745.jpg,https://www.funimation.com/shows/fullmetal-alchemist-brotherhood/
https://schema.org,Thing,Demon Slayer: Kimetsu no Yaiba,"Follows Tanjiro Kamado as he becomes a demon slayer to avenge his family and save his sister, who was turned into a demon.",https://cdn.myanimelist.net/images/anime/1286/99889.jpg,https://kimetsu.com/anime/
https://schema.org,Thing,Death Note,"A psychological thriller where a high school student, Light Yagami, gains the power to kill anyone by writing their name in a supernatural notebook.",https://images4.fanpop.com/image/photos/22500000/Death-note-3-death-note-22519849-1024-768.jpg,https://www.viz.com/death-note
https://schema.org,Thing,Sword Art Online,"Players become trapped in a virtual reality MMORPG, and the only way to escape is by clearing the game—if they die in the game, they die in real life.",https://m.media-amazon.com/images/M/MV5BYjY4MDU2YjMtNzY1MC00ODg1LWIwMzYtMWE5YTA3YTI4ZjMxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,https://swordart-online.net/
https://schema.org,Thing,Bleach,"Follows Ichigo Kurosaki, a teenager who accidentally acquires the powers of a Soul Reaper and must protect the world from evil spirits.",https://image.tmdb.org/t/p/original/tJ1agcy772mvLe9N9eTiLOAYBzV.jpg,https://www.viz.com/bleach
https://schema.org,Thing,Tokyo Ghoul,"Set in a world where flesh-eating ghouls exist alongside humans, it follows a college student, Kaneki, who becomes half-ghoul after a tragic encounter.",https://cdn.myanimelist.net/images/anime/1498/134443.jpg,https://www.viz.com/tokyo-ghoul
https://schema.org,Thing,Hunter x Hunter,"Follows Gon Freecss as he trains to become a Hunter, a special class of adventurers, in hopes of finding his estranged father.",https://cdn.myanimelist.net/images/anime/1305/132237.jpg,https://www.viz.com/hunter-x-hunter
https://schema.org,Thing,JoJo’s Bizarre Adventure,"A multi-generational saga that follows the Joestar family, each member battling supernatural foes with unique abilities called “Stands.”",https://upload.wikimedia.org/wikipedia/en/f/f7/JoJo_no_Kimyou_na_Bouken_cover_-_vol1.jpg,https://jojo-portal.com/
https://schema.org,Thing,Neon Genesis Evangelion,A psychological mecha series that delves into the minds of teenagers piloting giant robots to protect Earth from mysterious beings called Angels.,https://myanimeshelf.com/upload/dynamic/2011-03/01/52.jpg,https://www.evangelion.co.jp/
