@context,@type,name,description,image,url
https://schema.org,Thing,Remix,"Remix IDE is a web-based Integrated Development Environment (IDE) for writing, compiling, deploying, and debugging Solidity smart contracts on the Ethereum blockchain. It offers developers a comprehensive suite of tools to efficiently create and interact with decentralized applications (dApps) directly from their browser.",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675441%2Fdapp-store%2Fdapp-logos%2FRemix.png&w=256&q=75,https://remix-project.org/?lang=en
https://schema.org,Thing,Buildspace,"Buildspace is an educational Web3 platform that allows users to build sample Web3 projects. The projects come in a variety of lengths and difficulties. The platform places you in a ""cohort"" with other people working on the same project as you , in a discord server. This allows for debugging help, sharing progress, and general support through the process.",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675512%2Fdapp-store%2Fdapp-logos%2Fbuildspace.jpg&w=256&q=75,https://buildspace.so/
https://schema.org,Thing,Etherscan,"Built in 2015 by Block Solutions Sdn Bhd, Etherscan is an Ethereum block explorer and analytics platform. Users can see and analyze assets, balances and transactions on the Ethereum network. Developers can interact with smart contracts and view gas prices on Etherscan. Etherscan is one of the most trusted and popular block explorers for Ethereum.",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675408%2Fdapp-store%2Fdapp-logos%2FEtherscan.png&w=256&q=75,https://etherscan.io/
https://schema.org,Thing,MetaMask,"A free, digital cryptocurrency wallet that allows users to store and manage their cryptocurrencies, interact with decentralized applications (dApps), and execute transactions on blockchain networks. ",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675689%2Fdapp-store%2Fdapp-logos%2FMetaMask.png&w=256&q=75,https://metamask.io/
https://schema.org,Thing,Rabby,"a non-custodial cryptocurrency wallet that supports many blockchains, including Ethereum and related Ethereum Virtual Machine (EVM) blockchains.",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675756%2Fdapp-store%2Fdapp-logos%2FRabby%2520Wallet.jpg&w=256&q=75,https://rabby.io/
https://schema.org,Thing,Rainbow Kit,"a free, open-source React library that helps developers add wallet connections to their web3 frontends and improve their products",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675395%2Fdapp-store%2Fdapp-logos%2FRainbowKit.png&w=256&q=75,https://www.rainbowkit.com/
https://schema.org,Thing,The Graph,"The Graph (GRT) is a decentralized, open-source protocol that indexes and queries data from blockchains like Ethereum and Avalanche.",https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675398%2Fdapp-store%2Fdapp-logos%2FThe%2520Graph.jpg&w=256&q=75,https://thegraph.com/
https://schema.org,Thing,Alchemy,The leading web3 blockchain developer platform. Supercharge your dApps with the most reliable and scalable development endpoints in just one magic line of code.,https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675403%2Fdapp-store%2Fdapp-logos%2FAlchemy.png&w=256&q=75,https://www.alchemy.com/
https://schema.org,Thing,Chainlink,a cryptocurrency and technology platform that allows non-blockchain businesses to connect with blockchain platforms in a secure way.,https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675403%2Fdapp-store%2Fdapp-logos%2FChainlink.png&w=256&q=75,https://chain.link/
https://schema.org,Thing,Open Zeppelin,A crypto cybersecurity company that provides an open-source framework for building secure smart contracts,https://www.alchemy.com/_next/image?url=https%3A%2F%2Fres.cloudinary.com%2Falchemy-website%2Fimage%2Fupload%2Fv1694675415%2Fdapp-store%2Fdapp-logos%2FOpenZeppelin.jpg&w=256&q=75,https://www.openzeppelin.com/
